,Date,chickenpox
0,2017-01-02,50.0914757389981
1,2017-01-09,57.0244733831337
2,2017-01-16,53.70274342987278
3,2017-01-23,73.54826676539717
4,2017-01-30,62.53352278091375
5,2017-02-06,64.16887070932043
6,2017-02-13,64.74817450633387
7,2017-02-20,75.68110197977617
8,2017-02-27,73.57295729725108
9,2017-03-06,63.7692244614271
10,2017-03-13,65.1571288625667
11,2017-03-20,75.79431277276596
12,2017-03-27,71.08504339076826
13,2017-04-03,73.1738940515119
14,2017-04-10,80.03583024306326
15,2017-04-17,72.8051218571131
16,2017-04-24,80.48493974280294
17,2017-05-01,79.96651365385587
18,2017-05-08,84.62743227962137
19,2017-05-15,75.27082202972866
20,2017-05-22,72.14115565740596
21,2017-05-29,65.53977703679672
22,2017-06-05,75.0224421563188
23,2017-06-12,55.339314260703546
24,2017-06-19,55.967830060977185
25,2017-06-26,44.58582641040501
26,2017-07-03,41.607957420794364
27,2017-07-10,47.10104060725192
28,2017-07-17,45.41770630473425
29,2017-07-24,45.686601314869364
30,2017-07-31,44.95164280342824
31,2017-08-07,44.66471742194292
32,2017-08-14,44.008675999487615
33,2017-08-21,52.36826386611446
34,2017-08-28,55.9893503619418
35,2017-09-04,58.74111022886542
36,2017-09-11,75.84840267659348
37,2017-09-18,76.69484213223973
38,2017-09-25,70.40493487181791
39,2017-10-02,63.09038659325609
40,2017-10-09,64.46284908949409
41,2017-10-16,67.77650721932773
42,2017-10-23,73.47063516505374
43,2017-10-30,72.73578491130374
44,2017-11-06,71.3932182264571
45,2017-11-13,69.31095820029982
46,2017-11-20,51.74046275945456
47,2017-11-27,64.32730422839046
48,2017-12-04,73.59829683412494
49,2017-12-11,65.27155790994253
50,2017-12-18,48.32395331623045
51,2017-12-25,43.14243401506366
52,2018-01-01,46.87404051527871
53,2018-01-08,52.304209272307524
54,2018-01-15,49.680670449602985
55,2018-01-22,65.3548828811478
56,2018-01-29,56.6553170308068
57,2018-02-05,57.94693279704105
58,2018-02-12,58.40447330243731
59,2018-02-19,67.03941957319934
60,2018-02-26,65.37438373455352
61,2018-03-05,57.631287798365854
62,2018-03-12,58.72746994737459
63,2018-03-19,67.1288347016827
64,2018-03-26,63.40940198918421
65,2018-04-02,65.05919919738685
66,2018-04-09,70.47883181375391
67,2018-04-16,64.76793886546571
68,2018-04-23,70.8335434323356
69,2018-04-30,70.42408480981263
70,2018-05-07,74.10532956366694
71,2018-05-14,66.71537595969902
72,2018-05-21,64.24353106398706
73,2018-05-28,59.02968968066264
74,2018-06-04,66.51920280599953
75,2018-06-11,50.973252077611384
76,2018-06-18,51.46966076401961
77,2018-06-25,42.48002919323933
78,2018-07-02,40.12807553863778
79,2018-07-09,44.46657300796681
80,2018-07-16,43.13705707609224
81,2018-07-23,43.34943331023748
82,2018-07-30,42.76895500074997
83,2018-08-06,42.5423381811596
84,2018-08-13,42.02418945584731
85,2018-08-20,48.62668382429383
86,2018-08-27,51.486657734228324
87,2018-09-03,53.660027918805554
88,2018-09-10,67.17155550217056
89,2018-09-17,67.84008268656038
90,2018-09-24,62.87224480656413
91,2018-10-01,57.095134189695685
92,2018-10-08,58.179120152507494
93,2018-10-15,60.796283760360296
94,2018-10-22,65.29356859002976
95,2018-10-29,64.71317578365645
96,2018-11-05,63.652801861234764
97,2018-11-12,62.00821000865912
98,2018-11-19,48.13083961075617
99,2018-11-26,58.072065331577704
100,2018-12-03,65.39439717925652
101,2018-12-10,58.817847266560584
102,2018-12-17,45.43244290525762
103,2018-12-24,41.34002201660022
104,2018-12-31,44.287285840608554
105,2019-01-07,48.57609280214885
106,2019-01-14,46.50399300743768
107,2019-01-21,58.88365824455511
108,2019-01-28,52.01264552823287
109,2019-02-04,53.032777855186865
110,2019-02-11,53.394148374692385
111,2019-02-18,60.21412383689773
112,2019-02-25,58.899060232888196
113,2019-03-04,52.78347796631302
114,2019-03-11,53.6492546745782
115,2019-03-18,60.284744888040954
116,2019-03-25,57.347096055360375
117,2019-04-01,58.650124021574214
118,2019-04-08,62.93060942342829
119,2019-04-15,58.420083410488786
120,2019-04-22,63.21076455804417
121,2019-04-29,62.887369638049066
122,2019-05-06,65.79485720130901
123,2019-05-13,59.95819062973469
124,2019-05-20,58.005900365669696
125,2019-05-27,53.887951141306395
126,2019-06-03,59.80325091701128
127,2019-06-10,47.52488818263566
128,2019-06-17,47.91695721866348
129,2019-06-24,40.8168474085329
130,2019-07-01,38.95924856429467
131,2019-07-08,42.38584154540568
132,2019-07-15,41.33577525110836
133,2019-07-22,41.50351233483873
134,2019-07-29,41.04504418658262
135,2019-08-05,40.86605973196448
136,2019-08-12,40.45682017428847
137,2019-08-19,45.67154278751677
138,2019-08-26,47.93038161253003
139,2019-09-02,49.64693326952109
140,2019-09-09,60.31848624576537
141,2019-09-16,60.84649636307134
142,2019-09-23,56.92284340920083
143,2019-09-30,52.36001795388833
144,2019-10-07,53.216161980259805
145,2019-10-14,55.28322656021784
146,2019-10-21,58.8352315435896
147,2019-10-28,58.376830926632756
148,2019-11-04,57.53933594925635
149,2019-11-11,56.24041923012326
150,2019-11-18,45.27991957836566
151,2019-11-25,53.1316089061632
152,2019-12-02,58.91486707146122
153,2019-12-09,53.720635674512785
154,2019-12-16,43.14869620513999
155,2019-12-23,39.91645721181074
156,2019-12-30,42.24423857027059
157,2020-01-06,45.63158544223427
158,2020-01-13,43.99501825211511
159,2020-01-20,53.77261390819166
160,2020-01-27,48.34581255281008
161,2020-02-03,49.1515242758333
162,2020-02-10,49.43693868357976
163,2020-02-17,54.82343025476336
164,2020-02-24,53.784778567844086
165,2020-03-02,48.954624483809454
166,2020-03-09,49.638424442832985
167,2020-03-16,54.87920753707753
168,2020-03-23,52.55902020443653
169,2020-03-30,53.58816601235381
170,2020-04-06,56.96894042502386
171,2020-04-13,53.4064774095856
172,2020-04-20,57.19021002923213
173,2020-04-27,56.93478916732863
174,2020-05-04,59.23115479791062
175,2020-05-11,54.62129139505494
176,2020-05-18,53.079351088939916
177,2020-05-25,49.82694953551522
178,2020-06-01,54.498918307167564
179,2020-06-08,44.8013324810651
180,2020-06-15,45.110992914535785
181,2020-06-22,39.503248156700636
182,2020-06-29,38.03609617461798
183,2020-07-06,40.742456969157104
184,2020-07-13,39.913103069753554
185,2020-07-20,40.0455836619046
186,2020-07-27,39.68348047987363
187,2020-08-03,39.54211659058747
188,2020-08-10,39.21889469041601
189,2020-08-17,43.33753991984206
190,2020-08-24,45.121595648344886
191,2020-08-31,46.47734701183934
192,2020-09-07,54.90585683222385
193,2020-09-14,55.32288502567259
194,2020-09-21,52.223940801987816
195,2020-09-28,48.62017111219553
196,2020-10-05,49.296363073196794
197,2020-10-12,50.92895339536721
198,2020-10-19,53.73436596756248
199,2020-10-26,53.372316122493835
200,2020-11-02,52.71085338534084
201,2020-11-09,51.6849546855503
202,2020-11-16,43.02823160533821
203,2020-11-23,49.22958212604193
204,2020-11-30,53.79726298266531
205,2020-12-07,49.69480194105438
206,2020-12-14,41.344967963143624
207,2020-12-21,38.792110084093565
208,2020-12-28,40.63061738318695
209,2021-01-04,43.30598116940905
